lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2272
1551;Rudzisko;Fałków;powiat konecki;77;;;;
1552;Ruszcza-Kępa;Połaniec;powiat staszowski;1;;;;
1553;Ruszcza-Kolonia;Łoniów;powiat sandomierski;89;;;;
1554;Ruszcza-Płaszczyzna;Łoniów;powiat sandomierski;252;;;;
1555;Ruszcza;Połaniec;powiat staszowski;656;;;;
1556;Ruszkowiec;Sadowie;powiat opatowski;178;;;;
1557;Ruszków;Sadowie;powiat opatowski;194;;;;
1558;Rybitwy;Połaniec;powiat staszowski;384;;;;
1559;Rybnica;Klimontów;powiat sandomierski;74;;;;
1560;Rykoszyn;Piekoszów;powiat kielecki;1236;;;;
1561;Ryłowice;Samborzec;powiat sandomierski;128;;;;
1562;Rytlów;Słupia (Konecka);powiat konecki;65;;;;
1563;Rytwiany;Rytwiany;powiat staszowski;1971;;;;
1564;Rząbiec;Włoszczowa;powiat włoszczowski;326;;;;
1565;Rzeczyca Mokra;Dwikozy;powiat sandomierski;345;;;;
1566;Rzeczyca Sucha;Dwikozy;powiat sandomierski;138;;;;
1567;Rzegocin;Nowy Korczyn;powiat buski;96;;;;
1568;Rzemienowice;Opatowiec;powiat kazimierski;188;;;;
1569;Rzepin Drugi;Pawłów;powiat starachowicki;875;;;;
1570;Rzepin Pierwszy;Pawłów;powiat starachowicki;585;;;;
1571;Rzepinek;Pawłów;powiat starachowicki;138;;;;
1572;Rzeszówek;Oksa;powiat jędrzejowski;153;;;;
1573;Rzeszutki;Gnojno;powiat buski;69;;;;
1574;Rzewuszyce;Kluczewsko;powiat włoszczowski;273;;;;
1575;Rzędów;Tuczępy;powiat buski;139;;;;
1576;Rżuchów;Sadowie;powiat opatowski;319;;;;
1577;Sadek;Pińczów;powiat pińczowski;163;;;;
1578;Sadki;Wodzisław;powiat jędrzejowski;55;;;;
1579;Sadków;Łagów;powiat kielecki;396;;;;
1580;Sadkówka;Michałów;powiat pińczowski;27;;;;
1581;Sadłowice;Wojciechowice;powiat opatowski;172;;;;
1582;Sadowie;Sadowie;powiat opatowski;1004;;;;
1583;Salachowy Bór;Radoszyce;powiat konecki;1;;;;
1584;Salata;Smyków;powiat konecki;234;;;;
1585;Samborzec;Samborzec;powiat sandomierski;406;;;;
1586;Samostrzałów;Kije;powiat pińczowski;118;;;;
1587;Samsonów-Ciągłe;Zagnańsk;powiat kielecki;1;;;;
1588;Samsonów-Dudków;Zagnańsk;powiat kielecki;1;;;;
1589;Samsonów-Komorniki;Zagnańsk;powiat kielecki;1;;;;
1590;Samsonów-Piechotne;Zagnańsk;powiat kielecki;1;;;;
1591;Samsonów;Zagnańsk;powiat kielecki;1243;;;;
1592;Sancygniów;Działoszyce;powiat pińczowski;167;;;;
1593;Sarbice Drugie;Łopuszno;powiat kielecki;223;;;;
1594;Sarbice Pierwsze;Łopuszno;powiat kielecki;253;;;;
1595;Sarnia Zwola;Waśniów;powiat ostrowiecki;258;;;;
1596;Sarnówek Duży;Bodzechów;powiat ostrowiecki;460;;;;
1597;Sarnówek Mały;Bodzechów;powiat ostrowiecki;29;;;;
1598;Secemin;Secemin;powiat włoszczowski;1244;;;;
1599;Senisławice;Opatowiec;powiat kazimierski;120;;;;
1600;Serbinów;Mniów;powiat kielecki;373;;;;
1601;Serwis;Nowa Słupia;powiat kielecki;311;;;;
1602;Sędek;Łagów;powiat kielecki;327;;;;
1603;Sędowice;Michałów;powiat pińczowski;510;;;;
1604;Sędziejowice;Chmielnik;powiat kielecki;307;;;;
1605;Sędziszowice;Bejsce;powiat kazimierski;270;;;;
1606;Sęp;Radoszyce;powiat konecki;62;;;;
1607;Sępichów;Nowy Korczyn;powiat buski;349;;;;
1608;Sichów Duży;Rytwiany;powiat staszowski;558;;;;
1609;Sichów Mały;Rytwiany;powiat staszowski;330;;;;
1610;Sieczków;Tuczępy;powiat buski;156;;;;
1611;Siedlce;Chęciny;powiat kielecki;698;;;;
1612;Siekierno-Podmieście;Bodzentyn;powiat kielecki;1;;;;
1613;Siekierno-Przedgrab;Bodzentyn;powiat kielecki;300;;;;
1614;Sielec Biskupi;Skalbmierz;powiat kazimierski;157;;;;
1615;Sielec-Kolonia;Skalbmierz;powiat kazimierski;264;;;;
1616;Sielec;Wiślica;powiat buski;136;;;;
1617;Sielec;Wodzisław;powiat jędrzejowski;46;;;;
1618;Sielec;Staszów;powiat staszowski;414;;;;
1619;Sielpia Mała;Końskie;powiat konecki;1;;;;
1620;Sielpia Wielka;Końskie;powiat konecki;150;;;;
1621;Sieńsko;Słupia;powiat jędrzejowski;417;;;;
1622;Sieradowice Drugie;Bodzentyn;powiat kielecki;322;;;;
1623;Sieradowice Pierwsze;Bodzentyn;powiat kielecki;202;;;;
1624;Sieradowice-Parcele;Bodzentyn;powiat kielecki;1;;;;
1625;Sieradzice;Kazimierza Wielka;powiat kazimierski;323;;;;
1626;Sieraków;Daleszyce;powiat kielecki;162;;;;
1627;Sierosławice;Końskie;powiat konecki;741;;;;
1628;Siesławice;Busko-Zdrój;powiat buski;945;;;;
1629;Sietejów;Skalbmierz;powiat kazimierski;76;;;;
1630;Silpia Duża;Włoszczowa;powiat włoszczowski;135;;;;
1631;Silpia Mała;Włoszczowa;powiat włoszczowski;1;;;;
1632;Siodła;Zagnańsk;powiat kielecki;226;;;;
1633;Sitkówka;Sitkówka-Nowiny;powiat kielecki;463;;;;
1634;Skadla;Gnojno;powiat buski;152;;;;
1635;Skały;Nowa Słupia;powiat kielecki;172;;;;
1636;Skarbka;Bałtów;powiat ostrowiecki;265;;;;
1637;Skarżysko Kościelne;Skarżysko Kościelne;powiat skarżyski;2119;;;;
1638;Skąpe;Słupia (Konecka);powiat konecki;121;;;;
1639;Skiby;Chęciny;powiat kielecki;461;;;;
1640;Skociszewy;Radków;powiat włoszczowski;103;;;;
1641;Skoki;Mniów;powiat kielecki;366;;;;
1642;Skolankowska Wola;Iwaniska;powiat opatowski;200;;;;
1643;Skorczów;Kazimierza Wielka;powiat kazimierski;279;;;;
1644;Skorków;Krasocin;powiat włoszczowski;1550;;;;
1645;Skorocice;Wiślica;powiat buski;368;;;;
1646;Skorzeszyce;Górno;powiat kielecki;1435;;;;
1647;Skorzów;Busko-Zdrój;powiat buski;220;;;;
1648;Skotniki Dolne;Wiślica;powiat buski;245;;;;
1649;Skotniki Duże;Busko-Zdrój;powiat buski;307;;;;
1650;Skotniki Górne;Wiślica;powiat buski;270;;;;
1651;Skotniki Małe;Busko-Zdrój;powiat buski;189;;;;
1652;Skotniki;Samborzec;powiat sandomierski;472;;;;
1653;Skowronno Dolne;Pińczów;powiat pińczowski;230;;;;
1654;Skowronno Górne;Pińczów;powiat pińczowski;121;;;;
1655;Skórnice;Fałków;powiat konecki;322;;;;
1656;Skrobaczów;Stopnica;powiat buski;271;;;;
1657;Skroniów;Jędrzejów;powiat jędrzejowski;1003;;;;
1658;Skrzelczyce;Pierzchnica;powiat kielecki;634;;;;
1659;Skrzypaczowice;Łoniów;powiat sandomierski;324;;;;
1660;Skrzypiów;Pińczów;powiat pińczowski;371;;;;
1661;Skrzyszów;Gowarczów;powiat konecki;154;;;;
1662;Skwirzowa;Łoniów;powiat sandomierski;212;;;;
1663;Słabkowice;Busko-Zdrój;powiat buski;223;;;;
1664;Słaboszowice;Sędziszów;powiat jędrzejowski;150;;;;
1665;Słabuszewice;Lipnik;powiat opatowski;247;;;;
1666;Słonowice;Kazimierza Wielka;powiat kazimierski;333;;;;
1667;Słopiec;Daleszyce;powiat kielecki;738;;;;
1668;Słoptów;Lipnik;powiat opatowski;159;;;;
1669;Słowik;Sitkówka-Nowiny;powiat kielecki;1;;;;
1670;Słupcza;Dwikozy;powiat sandomierski;708;;;;
1671;Słupia Nadbrzeżna-Kolonia;Tarłów;powiat opatowski;88;;;;
1672;Słupia Nadbrzeżna;Tarłów;powiat opatowski;36;;;;
1673;Słupia;Pacanów;powiat buski;522;;;;
1674;Słupia;Słupia;powiat jędrzejowski;769;;;;
1675;Słupia;Słupia (Konecka);powiat konecki;289;;;;
1676;Słupiec;Łubnice;powiat staszowski;428;;;;
1677;Służów;Busko-Zdrój;powiat buski;128;;;;
1678;Smarków;Stąporków;powiat konecki;272;;;;
1679;Smerdyna;Staszów;powiat staszowski;694;;;;
1680;Smogorzów;Stopnica;powiat buski;545;;;;
1681;Smugi;Wojciechowice;powiat opatowski;61;;;;
1682;Smyków;Daleszyce;powiat kielecki;509;;;;
1683;Smyków;Raków;powiat kielecki;45;;;;
1684;Smyków;Smyków;powiat konecki;418;;;;
1685;Smyków;Fałków;powiat konecki;99;;;;
1686;Snochowice;Łopuszno;powiat kielecki;479;;;;
1687;Soboszów;Czarnocin;powiat kazimierski;73;;;;
1688;Sobowice;Imielno;powiat jędrzejowski;332;;;;
1689;Sobótka;Bliżyn;powiat skarżyski;149;;;;
1690;Sobótka;Ożarów;powiat opatowski;531;;;;
1691;Sobów;Ożarów;powiat opatowski;467;;;;
1692;Sokolina;Czarnocin;powiat kazimierski;249;;;;
1693;Sokołów Dolny;Sobków;powiat jędrzejowski;544;;;;
1694;Sokołów Górny;Sobków;powiat jędrzejowski;463;;;;
1695;Solec-Zdrój;Solec-Zdrój;powiat buski;825;;;;
1696;Solec;Szydłów;powiat staszowski;345;;;;
1697;Sołtyków;Bliżyn;powiat skarżyski;1;;;;
1698;Sorbin;Bliżyn;powiat skarżyski;427;;;;
1699;Sosnowiec;Sędziszów;powiat jędrzejowski;251;;;;
