Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Świecie;powiat świecki;kujawsko-pomorskie;25236;11,90;0;5;;
Żagań;powiat żagański;lubuskie;24907;40,40;0;5;;
Bielsk Podlaski;powiat bielski;podlaskie;24719;27,00;0;5;;
Wałcz;powiat wałecki;zachodniopomorskie;24687;38,20;0;5;;
Wieliczka;powiat wielicki;małopolskie;24594;13,40;0;5;;
Skawina;powiat krakowski;małopolskie;24294;20,50;0;5;;
Środa Wielkopolska;powiat średzki;wielkopolskie;23811;21,90;0;5;;
Białogard;powiat białogardzki;zachodniopomorskie;23614;25,70;0;5;;
Kościerzyna;powiat kościerski;pomorskie;23561;15,90;0;5;;
Kościan;powiat kościański;wielkopolskie;23479;9,00;0;5;;
Lubliniec;powiat lubliniecki;śląskie;23374;89,40;0;5;;
Kluczbork;powiat kluczborski;opolskie;23032;12,40;0;5;;
Sandomierz;powiat sandomierski;świętokrzyskie;22654;28,70;0;5;;
Szczytno;powiat szczycieński;warmińsko-mazurskie;22628;10,60;0;5;;
Bartoszyce;powiat bartoszycki;warmińsko-mazurskie;22597;11,80;0;5;;
Świebodzice;powiat świdnicki;dolnośląskie;22467;30,40;0;5;;
Piastów;powiat pruszkowski;mazowieckie;22297;5,80;0;5;;
Polkowice;powiat polkowicki;dolnośląskie;22238;23,70;0;5;;
Jawor;powiat jaworski;dolnośląskie;22151;18,80;0;5;;
Ostrów Mazowiecka;powiat ostrowski;mazowieckie;22028;22,30;0;5;;
Łaziska Górne;powiat mikołowski;śląskie;21941;20,10;0;5;;
Płońsk;powiat płoński;mazowieckie;21817;11,60;0;5;;
Aleksandrów Łódzki;powiat zgierski;łódzkie;21789;13,80;0;5;;
Goleniów;powiat goleniowski;zachodniopomorskie;21757;11,80;0;5;;
Zambrów;powiat zambrowski;podlaskie;21708;19,00;0;5;;
Wieluń;powiat wieluński;łódzkie;21624;16,90;0;5;;
Grajewo;powiat grajewski;podlaskie;21555;18,90;0;5;;
Orzesze;powiat mikołowski;śląskie;21388;83,70;0;5;;
Lubartów;powiat lubartowski;lubelskie;21373;13,90;0;5;;
Świebodzin;powiat świebodziński;lubuskie;21341;16,90;0;5;;
Nowa Ruda;powiat kłodzki;dolnośląskie;21260;37,10;0;5;;
Rydułtowy;powiat wodzisławski;śląskie;21165;15,00;0;5;;
Mrągowo;powiat mrągowski;warmińsko-mazurskie;20962;14,80;0;5;;
Działdowo;powiat działdowski;warmińsko-mazurskie;20935;11,50;0;5;;
Koło;powiat kolski;wielkopolskie;20833;13,90;0;5;;
Gryfino;powiat gryfiński;zachodniopomorskie;20733;11,80;0;5;;
Józefów;powiat otwocki;mazowieckie;20723;23,90;0;5;;
Lubań;powiat lubański;dolnośląskie;20518;16,10;0;5;;
Opoczno;powiat opoczyński;łódzkie;20409;27,00;0;5;;
Prudnik;powiat prudnicki;opolskie;20352;20,50;0;5;;
Gostyń;powiat gostyński;wielkopolskie;20089;11,10;0;5;;
Hajnówka;powiat hajnowski;podlaskie;19993;21,30;0;5;;
Sulejówek;powiat miński;mazowieckie;19926;19,30;0;5;;
Rawicz;powiat rawicki;wielkopolskie;19904;8,90;0;5;;
Andrychów;powiat wadowicki;małopolskie;19524;10,30;0;5;;
Bieruń;powiat bieruńsko-lędziński;śląskie;19334;40,50;0;5;;
Trzebinia;powiat chrzanowski;małopolskie;19242;31,90;0;5;;
Pułtusk;powiat pułtuski;mazowieckie;19185;23,10;0;5;;
Chełmno;powiat chełmiński;kujawsko-pomorskie;18915;13,60;0;5;;
Ozorków;powiat zgierski;łódzkie;18846;15,50;0;5;;
Pisz;powiat piski;warmińsko-mazurskie;18796;10,10;0;5;;
Sokołów Podlaski;powiat sokołowski;mazowieckie;18767;17,50;0;5;;
Końskie;powiat konecki;świętokrzyskie;18600;17,70;0;5;;
Szamotuły;powiat szamotulski;wielkopolskie;18545;11,10;0;5;;
Konstantynów Łódzki;powiat pabianicki;łódzkie;18533;27,30;0;5;;
Tomaszów Lubelski;powiat tomaszowski;lubelskie;18396;13,30;0;5;;
Łęczna;powiat łęczyński;lubelskie;18391;19,00;0;5;;
Kęty;powiat oświęcimski;małopolskie;18306;23,10;0;5;;
Pyskowice;powiat gliwicki;śląskie;18274;30,90;0;5;;
Myślenice;powiat myślenicki;małopolskie;18265;30,20;0;5;;
Kamienna Góra;powiat kamiennogórski;dolnośląskie;18235;18,00;0;5;;
Gostynin;powiat gostyniński;mazowieckie;18179;32,40;0;5;;
Złotów;powiat złotowski;wielkopolskie;18174;11,60;0;5;;
